Province,District,Polling Division,Name,Votes,Percent
Central Province,MAHANUWARA,SENKADAGALA,Valid Votes,"62,735",98.69%
Central Province,MAHANUWARA,SENKADAGALA,Rejected Votes,834,1.31%
Central Province,MAHANUWARA,SENKADAGALA,Total Polled,"63,569",78.34%
Central Province,MAHANUWARA,SENKADAGALA,Regis.Electors,"81,149",
Central Province,MAHANUWARA,MAHANUWARA,Aithurus Mohamed Illias,24,0.08%
Central Province,MAHANUWARA,MAHANUWARA,Ibrahim Miflar,19,0.06%
Central Province,MAHANUWARA,MAHANUWARA,Prasanna Priyankara,5,0.02%
Central Province,MAHANUWARA,MAHANUWARA,Wimal Geeganage,3,0.01%
Central Province,MAHANUWARA,MAHANUWARA,Sirithunga Jayasuriya,15,0.05%
Central Province,MAHANUWARA,MAHANUWARA,M. B. Theminimulla,5,0.02%
Central Province,MAHANUWARA,MAHANUWARA,Pani Wijesiriwardane,7,0.02%
Central Province,MAHANUWARA,MAHANUWARA,Duminda Nagamuwa,18,0.06%
Central Province,MAHANUWARA,MAHANUWARA,Panagoda Don Prince Soloman Anura Liyanage,19,0.06%
Central Province,MAHANUWARA,MAHANUWARA,Maithripala Sirisena,"20,316",66.14%
Central Province,MAHANUWARA,MAHANUWARA,Ruwanthilaka Peduru Arachchi,23,0.07%
Central Province,MAHANUWARA,MAHANUWARA,Anuruddha Polgampala,2,0.01%
Central Province,MAHANUWARA,MAHANUWARA,Baththaramulle Seelarathana Thero,7,0.02%
Central Province,MAHANUWARA,MAHANUWARA,Sarath Manamendra,8,0.03%
Central Province,MAHANUWARA,MAHANUWARA,Arachchige Rathnayaka Sirisena,26,0.08%
Central Province,MAHANUWARA,MAHANUWARA,Mahinda Rajapaksa,"10,200",33.21%
Central Province,MAHANUWARA,MAHANUWARA,Namal Rajapaksa,10,0.03%
Central Province,MAHANUWARA,MAHANUWARA,Sundaram Mahendran,6,0.02%
Central Province,MAHANUWARA,MAHANUWARA,Jayantha Kulathunga,2,0.01%
Central Province,MAHANUWARA,MAHANUWARA,Valid Votes,"30,715",98.71%
Central Province,MAHANUWARA,MAHANUWARA,Rejected Votes,401,1.29%
Central Province,MAHANUWARA,MAHANUWARA,Total Polled,"31,116",77.75%
Central Province,MAHANUWARA,MAHANUWARA,Regis.Electors,"40,020",
Central Province,MAHANUWARA,YATINUWARA,Aithurus Mohamed Illias,42,0.07%
Central Province,MAHANUWARA,YATINUWARA,Ibrahim Miflar,74,0.12%
Central Province,MAHANUWARA,YATINUWARA,Prasanna Priyankara,9,0.01%
Central Province,MAHANUWARA,YATINUWARA,Wimal Geeganage,9,0.01%
Central Province,MAHANUWARA,YATINUWARA,Sirithunga Jayasuriya,28,0.04%
Central Province,MAHANUWARA,YATINUWARA,M. B. Theminimulla,11,0.02%
Central Province,MAHANUWARA,YATINUWARA,Pani Wijesiriwardane,15,0.02%
Central Province,MAHANUWARA,YATINUWARA,Duminda Nagamuwa,47,0.07%
Central Province,MAHANUWARA,YATINUWARA,Panagoda Don Prince Soloman Anura Liyanage,45,0.07%
Central Province,MAHANUWARA,YATINUWARA,Maithripala Sirisena,"32,298",51.19%
Central Province,MAHANUWARA,YATINUWARA,Ruwanthilaka Peduru Arachchi,58,0.09%
Central Province,MAHANUWARA,YATINUWARA,Anuruddha Polgampala,16,0.03%
Central Province,MAHANUWARA,YATINUWARA,Baththaramulle Seelarathana Thero,21,0.03%
Central Province,MAHANUWARA,YATINUWARA,Sarath Manamendra,35,0.06%
Central Province,MAHANUWARA,YATINUWARA,Arachchige Rathnayaka Sirisena,88,0.14%
Central Province,MAHANUWARA,YATINUWARA,Mahinda Rajapaksa,"30,194",47.86%
Central Province,MAHANUWARA,YATINUWARA,Namal Rajapaksa,78,0.12%
Central Province,MAHANUWARA,YATINUWARA,Sundaram Mahendran,18,0.03%
Central Province,MAHANUWARA,YATINUWARA,Jayantha Kulathunga,3,0.00%
Central Province,MAHANUWARA,YATINUWARA,Valid Votes,"63,089",98.83%
Central Province,MAHANUWARA,YATINUWARA,Rejected Votes,748,1.17%
Central Province,MAHANUWARA,YATINUWARA,Total Polled,"63,837",79.38%
Central Province,MAHANUWARA,YATINUWARA,Regis.Electors,"80,420",
Central Province,MAHANUWARA,UDUNUWARA,Aithurus Mohamed Illias,59,0.09%
Central Province,MAHANUWARA,UDUNUWARA,Ibrahim Miflar,87,0.13%
Central Province,MAHANUWARA,UDUNUWARA,Prasanna Priyankara,13,0.02%
Central Province,MAHANUWARA,UDUNUWARA,Wimal Geeganage,9,0.01%
Central Province,MAHANUWARA,UDUNUWARA,Sirithunga Jayasuriya,48,0.07%
Central Province,MAHANUWARA,UDUNUWARA,M. B. Theminimulla,29,0.04%
Central Province,MAHANUWARA,UDUNUWARA,Pani Wijesiriwardane,25,0.04%
Central Province,MAHANUWARA,UDUNUWARA,Duminda Nagamuwa,61,0.09%
Central Province,MAHANUWARA,UDUNUWARA,Panagoda Don Prince Soloman Anura Liyanage,82,0.13%
Central Province,MAHANUWARA,UDUNUWARA,Maithripala Sirisena,"38,018",58.71%
Central Province,MAHANUWARA,UDUNUWARA,Ruwanthilaka Peduru Arachchi,61,0.09%
Central Province,MAHANUWARA,UDUNUWARA,Anuruddha Polgampala,26,0.04%
Central Province,MAHANUWARA,UDUNUWARA,Baththaramulle Seelarathana Thero,19,0.03%
Central Province,MAHANUWARA,UDUNUWARA,Sarath Manamendra,37,0.06%
Central Province,MAHANUWARA,UDUNUWARA,Arachchige Rathnayaka Sirisena,87,0.13%
Central Province,MAHANUWARA,UDUNUWARA,Mahinda Rajapaksa,"25,984",40.13%
Central Province,MAHANUWARA,UDUNUWARA,Namal Rajapaksa,76,0.12%
